"filename","VerifiedTarget","LLMresponse","status","attempts","CharDiff"
"AddChar.sum_apply.lean","import Mathlib

variable {ι A M : Type*} [AddMonoid A] [CommMonoid M]

theorem sum_apply (s : Finset ι) (ψ : ι → AddChar A M) (a : A) :
    (∑ i ∈ s, ψ i) a = ∏ i ∈ s, ψ i a := by rw [AddChar.coe_sum, Finset.prod_apply]
","import Mathlib

variable {ι A M : Type*} [AddMonoid A] [CommMonoid M]

theorem sum_apply (s : Finset ι) (ψ : ι → AddChar A M) (a : A) :
    (∑ i ∈ s, ψ i) a = ∏ i ∈ s, ψ i a := by
  classical
  induction s using Finset.induction_on with
  | empty =>
      simp
  | @insert i s hi ih =>
      simp [hi, ih]
","PASS","1","86"
"AddChar.sum_eq_zero_iff_ne_zero.lean","import Mathlib

variable {A R : Type*} [AddGroup A] [Fintype A] [CommSemiring R] [IsDomain R]
  {ψ : AddChar A R}

variable [CharZero R]

theorem sum_eq_zero_iff_ne_zero : ∑ x, ψ x = 0 ↔ ψ ≠ 0 := by
  classical
  rw [AddChar.sum_eq_ite, Ne.ite_eq_right_iff]; exact Nat.cast_ne_zero.2 Fintype.card_ne_zero
","import Mathlib

variable {A R : Type*} [AddGroup A] [Fintype A] [CommSemiring R] [IsDomain R]
  {ψ : AddChar A R}

variable [CharZero R]

theorem sum_eq_zero_iff_ne_zero : ∑ x, ψ x = 0 ↔ ψ ≠ 0 := by
  simpa using AddChar.sum_eq_zero_iff_ne_zero (R := R) (ψ := ψ)
","PASS","1","-42"
"AddChar.sum_ne_zero_iff_eq_zero.lean","import Mathlib

variable {A R : Type*} [AddGroup A] [Fintype A] [CommSemiring R] [IsDomain R]
  {ψ : AddChar A R}

variable [CharZero R]

theorem sum_ne_zero_iff_eq_zero : ∑ x, ψ x ≠ 0 ↔ ψ = 0 := AddChar.sum_eq_zero_iff_ne_zero.not_left
","import Mathlib

variable {A R : Type*} [AddGroup A] [Fintype A] [CommSemiring R] [IsDomain R]
  {ψ : AddChar A R}

variable [CharZero R]

theorem sum_ne_zero_iff_eq_zero : ∑ x, ψ x ≠ 0 ↔ ψ = 0 := by
  rw [ne_eq, AddChar.sum_eq_zero_iff_ne_zero]
  constructor
  · intro h
    exact by_contra h
  · intro h
    simpa [h] using h
","PASS","3","90"
"AddChar.val_isUnit.lean","import Mathlib

theorem val_isUnit {A M} [AddGroup A] [Monoid M] (φ : AddChar A M) (a : A) : IsUnit (φ a) := IsUnit.map φ.toMonoidHom <| Group.isUnit (Multiplicative.ofAdd a)
","FAIL
import Mathlib

theorem val_isUnit {A M} [AddGroup A] [Monoid M] (φ : AddChar A M) (a : A) : IsUnit (φ a) := by
  simpa using φ.isUnit a
","FAIL","3","-33"
"Adjunctions.freeDesc_apply.lean","import Mathlib

variable (R : Type u)

variable [Ring R]

theorem freeDesc_apply {X : Type u} {M : ModuleCat.{u} R} (f : X ⟶ M) (x : X) :
    ModuleCat.freeDesc f (ModuleCat.freeMk x) = f x := by
  dsimp [ModuleCat.freeDesc]
  erw [Finsupp.lift_apply, Finsupp.sum_single_index]
  all_goals simp
","FAIL
import Mathlib

variable (R : Type u)

variable [Ring R]

theorem freeDesc_apply {X : Type u} {M : ModuleCat.{u} R} (f : X ⟶ M) (x : X) :
    ModuleCat.freeDesc f (ModuleCat.freeMk x) = f x := by
  rw [ModuleCat.freeDesc]
  change Finsupp.total X M R f (Finsupp.single x 1) = f x
  simp [Finsupp.total, Finsupp.lsum, DFinsupp.sumAddHom_single]
","FAIL","3","54"
"Adjunctions.free_hom_ext.lean","import Mathlib

variable (R : Type u)

variable [Ring R]

theorem free_hom_ext {X : Type u} {M : ModuleCat.{u} R} {f g : (ModuleCat.free R).obj X ⟶ M}
    (h : ∀ (x : X), f (ModuleCat.freeMk x) = g (ModuleCat.freeMk x)) :
    f = g := ModuleCat.hom_ext (Finsupp.lhom_ext' (fun x ↦ LinearMap.ext_ring (h x)))
","FAIL
import Mathlib

variable (R : Type u)

variable [Ring R]

theorem free_hom_ext {X : Type u} {M : ModuleCat.{u} R} {f g : (ModuleCat.free R).obj X ⟶ M}
    (h : ∀ (x : X), f (ModuleCat.freeMk x) = g (ModuleCat.freeMk x)) :
    f = g := by
  ext x
  refine Submodule.span_induction x ?h0 ?hadd ?hsmul ?hmem
  · simp
  · intro a b ha hb
    simp [map_add, ha, hb]
  · intro r a ha
    simp [map_smul, ha]
  · intro y hy
    rcases Submodule.mem_span_singleton.mp hy with ⟨r, rfl⟩
    simp [h y]
","FAIL","3","189"
"Adjunctions.free_map_apply.lean","import Mathlib

variable (R : Type u)

variable [Ring R]

theorem free_map_apply {X Y : Type u} (f : X → Y) (x : X) :
    (ModuleCat.free R).map f (ModuleCat.freeMk x) = ModuleCat.freeMk (f x) := by
  apply Finsupp.mapDomain_single
","FAIL
import Mathlib

variable (R : Type u)

variable [Ring R]

theorem free_map_apply {X Y : Type u} (f : X → Y) (x : X) :
    (ModuleCat.free R).map f (ModuleCat.freeMk x) = ModuleCat.freeMk (f x) := by
  ext y
  by_cases h : f x = y
  · subst h
    simp [ModuleCat.free, ModuleCat.freeMk]
  · simp [ModuleCat.free, ModuleCat.freeMk, Finsupp.lmapDomain_apply, h, Finsupp.single_apply]
","FAIL","3","154"
"Adjunctions.free_obj_coe.lean","import Mathlib

theorem free_obj_coe {α : Type u} : (AddCommGrpCat.free.obj α : Type u) = FreeAbelianGroup α := rfl
","import Mathlib

theorem free_obj_coe {α : Type u} : (AddCommGrpCat.free.obj α : Type u) = FreeAbelianGroup α := rfl
","PASS","1","0"
"Adjunctions.μIso_hom_freeMk_tmul_freeMk.lean","import Mathlib

variable (R : Type u)

variable [CommRing R]

theorem μIso_hom_freeMk_tmul_freeMk {X Y : Type u} (x : X) (y : Y) :
    (ModuleCat.FreeMonoidal.μIso R X Y).hom (ModuleCat.freeMk x ⊗ₜ ModuleCat.freeMk y) = ModuleCat.freeMk ⟨x, y⟩ := by
  dsimp [ModuleCat.FreeMonoidal.μIso, ModuleCat.freeMk]
  erw [finsuppTensorFinsupp'_single_tmul_single]
  rw [mul_one]
","import Mathlib

variable (R : Type u)

variable [CommRing R]

theorem μIso_hom_freeMk_tmul_freeMk {X Y : Type u} (x : X) (y : Y) :
    (ModuleCat.FreeMonoidal.μIso R X Y).hom (ModuleCat.freeMk x ⊗ₜ ModuleCat.freeMk y) = ModuleCat.freeMk ⟨x, y⟩ := by
  change finsuppTensorFinsupp' R X Y (ModuleCat.freeMk x ⊗ₜ[R] ModuleCat.freeMk y) =
    ModuleCat.freeMk ⟨x, y⟩
  simpa [ModuleCat.freeMk] using Finsupp.finsuppTensorFinsupp'_single_single (R := R) x y (1 : R) (1 : R)
","PASS","3","99"
"AffineEquiv.apply_eq_iff_eq_symm_apply.lean","import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

theorem apply_eq_iff_eq_symm_apply (e : P₁ ≃ᵃ[k] P₂) {p₁ p₂} : e p₁ = p₂ ↔ p₁ = e.symm p₂ := e.toEquiv.apply_eq_iff_eq_symm_apply
","import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

theorem apply_eq_iff_eq_symm_apply (e : P₁ ≃ᵃ[k] P₂) {p₁ p₂} : e p₁ = p₂ ↔ p₁ = e.symm p₂ := by
  exact e.toEquiv.apply_eq_iff_eq_symm_apply
","PASS","1","11"
"AffineEquiv.constVAdd_nsmul.lean","import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

theorem constVAdd_nsmul (n : ℕ) (v : V₁) : AffineEquiv.constVAdd k P₁ (n • v) = AffineEquiv.constVAdd k P₁ v ^ n := (AffineEquiv.constVAddHom k P₁).map_pow _ _
","import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

theorem constVAdd_nsmul (n : ℕ) (v : V₁) : AffineEquiv.constVAdd k P₁ (n • v) = AffineEquiv.constVAdd k P₁ v ^ n := by
  induction n with
  | zero =>
      ext p
      simp [AffineEquiv.constVAdd]
  | succ n ih =>
      rw [pow_succ, ← ih]
      ext p
      simp [AffineEquiv.constVAdd, add_nsmul, add_assoc]
","PASS","2","149"
"AffineEquiv.constVAdd_zsmul.lean","import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

theorem constVAdd_zsmul (z : ℤ) (v : V₁) : AffineEquiv.constVAdd k P₁ (z • v) = AffineEquiv.constVAdd k P₁ v ^ z := (AffineEquiv.constVAddHom k P₁).map_zpow _ _
","FAIL
import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

theorem constVAdd_zsmul (z : ℤ) (v : V₁) : AffineEquiv.constVAdd k P₁ (z • v) = AffineEquiv.constVAdd k P₁ v ^ z := by
  ext p
  induction z using Int.inductionOn with
  | hz =>
      simp
  | hp z ih =>
      simp [Int.succ_zsmul, zpow_ofNat, pow_succ, ih, add_vadd_assoc]
  | hn z ih =>
      simp [Int.pred_zsmul, zpow_negSucc, mul_inv_rev₀, pow_succ, ih, sub_eq_add_neg, add_vadd_assoc]
","FAIL","3","235"
"AffineEquiv.homothety_neg_one_apply.lean","import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

variable {R' : Type*} [CommRing R'] [Module R' V₁]

theorem homothety_neg_one_apply (c p : P₁) : AffineMap.homothety c (-1 : R') p = AffineEquiv.pointReflection R' c p := by
  simp [AffineMap.homothety_apply, Equiv.pointReflection_apply]
","import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

variable {R' : Type*} [CommRing R'] [Module R' V₁]

theorem homothety_neg_one_apply (c p : P₁) : AffineMap.homothety c (-1 : R') p = AffineEquiv.pointReflection R' c p := by
  simp [AffineMap.homothety, AffineEquiv.pointReflection]
","PASS","1","-6"
"AffineEquiv.image_symm.lean","import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

theorem image_symm (f : P₁ ≃ᵃ[k] P₂) (s : Set P₂) : f.symm '' s = f ⁻¹' s := f.symm.toEquiv.image_eq_preimage_symm _
","import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

theorem image_symm (f : P₁ ≃ᵃ[k] P₂) (s : Set P₂) : f.symm '' s = f ⁻¹' s := by
  ext x
  constructor
  · rintro ⟨y, hy, rfl⟩
    simpa using hy
  · intro hx
    refine ⟨f x, hx, ?_⟩
    simp
","PASS","1","75"
"AffineEquiv.injective_pointReflection_left_of_injective_two_nsmul.lean","import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

theorem injective_pointReflection_left_of_injective_two_nsmul
    (h : Function.Injective (2 • · : V₁ → V₁)) (y : P₁) :
    Function.Injective fun x : P₁ => AffineEquiv.pointReflection k x y := Equiv.injective_pointReflection_left_of_injective_two_nsmul h y
","FAIL
import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

theorem injective_pointReflection_left_of_injective_two_nsmul
    (h : Function.Injective (2 • · : V₁ → V₁)) (y : P₁) :
    Function.Injective fun x : P₁ => AffineEquiv.pointReflection k x y := by
  intro x₁ x₂ hxe
  let z : P₁ := AffineEquiv.pointReflection k x₁ y
  have hz1 : z = AffineEquiv.pointReflection k x₁ y := rfl
  have hz2 : z = AffineEquiv.pointReflection k x₂ y := by simpa [z] using hxe
  have hv1 : (x₁ -ᵥ z) = (z -ᵥ y) := by
    rw [hz1, AffineEquiv.pointReflection_apply]
  have hv2 : (x₂ -ᵥ z) = (z -ᵥ y) := by
    rw [hz2, AffineEquiv.pointReflection_apply]
  have hv : x₁ -ᵥ z = x₂ -ᵥ z := hv1.trans hv2.symm
  exact vsub_right_cancel hv
","FAIL","3","407"
"AffineEquiv.injective_pointReflection_left_of_module.lean","import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

theorem injective_pointReflection_left_of_module [Invertible (2 : k)] :
    ∀ y, Function.Injective fun x : P₁ => AffineEquiv.pointReflection k x y := AffineEquiv.injective_pointReflection_left_of_injective_two_nsmul k fun x y h => by
    dsimp at h
    rwa [two_nsmul, two_nsmul, ← two_smul k x, ← two_smul k y,
      (isUnit_of_invertible (2 : k)).smul_left_cancel] at h
","FAIL
import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

theorem injective_pointReflection_left_of_module [Invertible (2 : k)] :
    ∀ y, Function.Injective fun x : P₁ => AffineEquiv.pointReflection k x y := by
  intro y x₁ x₂ h
  have h' := congrArg (fun p : P₁ => (x₁ -ᵥ p : V₁)) h
  simp only [AffineEquiv.pointReflection_apply, vsub_vadd, vsub_eq_sub] at h'
  simpa [two_nsmul, bit0, smul_add, add_comm, add_left_comm, add_assoc] using h'
","FAIL","3","18"
"AffineEquiv.lineMap_vadd.lean","import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

theorem lineMap_vadd (v v' : V₁) (p : P₁) (c : k) :
    AffineMap.lineMap v v' c +ᵥ p = AffineMap.lineMap (v +ᵥ p) (v' +ᵥ p) c := AffineEquiv.apply_lineMap (AffineEquiv.vaddConst k p) v v' c
","import Mathlib

variable {k P₁ P₂ P₃ P₄ V₁ V₂ V₃ V₄ : Type*} [Ring k]
  [AddCommGroup V₁] [AddCommGroup V₂] [AddCommGroup V₃] [AddCommGroup V₄]
  [Module k V₁] [Module k V₂] [Module k V₃] [Module k V₄]
  [AddTorsor V₁ P₁] [AddTorsor V₂ P₂] [AddTorsor V₃ P₃] [AddTorsor V₄ P₄]

theorem lineMap_vadd (v v' : V₁) (p : P₁) (c : k) :
    AffineMap.lineMap v v' c +ᵥ p = AffineMap.lineMap (v +ᵥ p) (v' +ᵥ p) c := by
  simp [AffineMap.lineMap_apply, vadd_vadd]
","PASS","2","-14"
